topic,question,option1,option2,option3,option4,answer,difficulty,asked_in_this_session,got_right,tag
Chemistry,"If ΔH = -100 kJ and ΔS = -200 J/K at 300 K, is the reaction spontaneous?",No,Yes,Equilibrium,Cannot determine,No,Medium,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,"For the reaction N₂ + 3H₂ ⇌ 2NH₃, Kc = 0.5. If [N₂] = 0.1 M, [H₂] = 0.3 M, what is [NH₃]?",0.087 M,0.174 M,0.043 M,0.130 M,0.087 M,Medium,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,A reaction has rate constant k = 0.01 s⁻¹. What is its half-life?,69.3 s,100 s,50 s,138.6 s,69.3 s,Medium,FALSE,FALSE,Chemistry-Kinetics
Chemistry,What is the pH of 0.01 M HCl solution?,2,1,3,4,2,Medium,FALSE,FALSE,Chemistry-Acids and Bases
Chemistry,How many grams of NaCl are needed to make 250 mL of 0.5 M solution?,7.3 g,14.6 g,3.65 g,29.2 g,7.3 g,Medium,FALSE,FALSE,Chemistry-Solutions
Chemistry,What is the IUPAC name for CH₃CH₂CH₂CH₃?,Butane,Propane,Ethane,Pentane,Butane,Medium,FALSE,FALSE,Chemistry-Organic Chemistry
Chemistry,"In the reaction 2Fe + 3Cu²⁺ → 2Fe³⁺ + 3Cu, what is oxidized?",Fe,Cu²⁺,Fe³⁺,Cu,Fe,Medium,FALSE,FALSE,Chemistry-Redox
Chemistry,"At STP, what volume does 2 moles of ideal gas occupy?",44.8 L,22.4 L,11.2 L,67.2 L,44.8 L,Medium,FALSE,FALSE,Chemistry-Gases
Chemistry,How much heat is needed to melt 100 g of ice at 0°C?,33.4 kJ,4.18 kJ,2.26 kJ,6.68 kJ,33.4 kJ,Medium,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,"For the equilibrium 2SO₂ + O₂ ⇌ 2SO₃, if pressure increases, what happens?",Shifts right,Shifts left,No change,Reaction stops,Shifts right,Medium,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,"If temperature increases from 300 K to 310 K, by what factor does rate approximately double?",2,1.5,3,4,2,Medium,FALSE,FALSE,Chemistry-Kinetics
Chemistry,What is the pOH of a solution with pH = 11?,3,11,7,14,3,Medium,FALSE,FALSE,Chemistry-Acids and Bases
Chemistry,What is the molality of 58.44 g NaCl in 500 g water?,2 m,1 m,4 m,0.5 m,2 m,Medium,FALSE,FALSE,Chemistry-Solutions
Chemistry,What type of reaction is CH₄ + Cl₂ → CH₃Cl + HCl?,Substitution,Addition,Elimination,Polymerization,Substitution,Medium,FALSE,FALSE,Chemistry-Organic Chemistry
Chemistry,Balance: Cu + Ag⁺ → Cu²⁺ + Ag,Cu + 2Ag⁺ → Cu²⁺ + 2Ag,2Cu + Ag⁺ → 2Cu²⁺ + Ag,Cu + Ag⁺ → Cu²⁺ + Ag,2Cu + 2Ag⁺ → 2Cu²⁺ + 2Ag,Cu + 2Ag⁺ → Cu²⁺ + 2Ag,Medium,FALSE,FALSE,Chemistry-Redox
Chemistry,A gas at 2 atm and 300 K is compressed to 1 atm at constant temperature. What happens to volume?,Doubles,Halves,Stays same,Triples,Doubles,Medium,FALSE,FALSE,Chemistry-Gases
Chemistry,"For reaction A → B, ΔH = -50 kJ/mol. Is it exothermic?",Yes,No,Equilibrium,Cannot tell,Yes,Medium,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,The equilibrium constant for A + B ⇌ C is 10. What is K for C ⇌ A + B?,0.1,10,1,100,0.1,Medium,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,What is the wavelength of an electron moving at 10⁶ m/s?,0.727 nm,0.364 nm,1.455 nm,0.182 nm,0.727 nm,Hard,FALSE,FALSE,Chemistry-Atomic Structure
Chemistry,"Calculate ΔG for reaction at 298 K: ΔH = -100 kJ, ΔS = -200 J/K",-40.4 kJ,-159.6 kJ,-100 kJ,-59.6 kJ,-40.4 kJ,Hard,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,"For 2NO₂ ⇌ N₂O₄, Kp = 5 at 298 K. If total pressure is 3 atm, what fraction is N₂O₄?",0.65,0.35,0.50,0.80,0.65,Hard,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,A reaction has activation energy 50 kJ/mol. How much faster is it at 350 K vs 300 K?,3.5 times,2 times,5 times,10 times,3.5 times,Hard,FALSE,FALSE,Chemistry-Kinetics
Chemistry,What is the pH of 0.1 M acetic acid (Ka = 1.8×10⁻⁵)?,2.87,1.00,4.74,3.74,2.87,Hard,FALSE,FALSE,Chemistry-Acids and Bases
Chemistry,Calculate cell potential: Zn|Zn²⁺(0.1M)||Cu²⁺(1M)|Cu,1.13 V,0.34 V,1.10 V,0.37 V,1.13 V,Hard,FALSE,FALSE,Chemistry-Electrochemistry
Chemistry,"How many stereoisomers does 2,3-dichlorobutane have?",3,2,4,1,3,Hard,FALSE,FALSE,Chemistry-Organic Chemistry
Chemistry,Calculate entropy change for heating 1 mol water from 273K to 373K (Cp = 75.3 J/K·mol),23.6 J/K,75.3 J/K,7.53 J/K,236 J/K,23.6 J/K,Hard,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,"For A → products, [A] vs time is linear. What is the reaction order?",Zero,First,Second,Third,Zero,Hard,FALSE,FALSE,Chemistry-Kinetics
Chemistry,"For HA ⇌ H⁺ + A⁻, Ka = 10⁻⁵. What is degree of dissociation at 0.01 M?",0.0316,0.01,0.1,0.001,0.0316,Hard,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,"Half-life of isotope is 5 days. After 20 days, what fraction remains?",1/16,1/4,1/8,1/32,1/16,Hard,FALSE,FALSE,Chemistry-Nuclear Chemistry
Chemistry,Balance in acidic medium: MnO₄⁻ + Fe²⁺ → Mn²⁺ + Fe³⁺,MnO₄⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O,MnO₄⁻ + Fe²⁺ → Mn²⁺ + Fe³⁺,2MnO₄⁻ + 5Fe²⁺ + 16H⁺ → 2Mn²⁺ + 5Fe³⁺ + 8H₂O,MnO₄⁻ + 8H⁺ + 5e⁻ → Mn²⁺ + 4H₂O,MnO₄⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O,Hard,FALSE,FALSE,Chemistry-Redox
Chemistry,At what temperature does 2 mol gas have pressure 5 atm in 10 L container?,304 K,152 K,608 K,456 K,304 K,Hard,FALSE,FALSE,Chemistry-Gases
Chemistry,Calculate work for isothermal expansion of 2 mol gas from 10L to 20L at 300K,3.46 kJ,6.92 kJ,1.73 kJ,13.8 kJ,3.46 kJ,Hard,FALSE,FALSE,Chemistry-Thermodynamics
Chemistry,Buffer contains 0.1 M HA and 0.2 M A⁻ (Ka = 10⁻⁵). What is pH?,5.30,4.70,5.00,6.00,5.30,Hard,FALSE,FALSE,Chemistry-Acids and Bases
Chemistry,What is the product of benzene + Br₂ (FeBr₃ catalyst)?,Bromobenzene,Dibromobenzene,Phenol,Benzoic acid,Bromobenzene,Hard,FALSE,FALSE,Chemistry-Organic Chemistry
Chemistry,"For A + B → products, rate = k[A][B]. If [A] doubles and [B] triples, rate changes by?",6 times,2 times,3 times,9 times,6 times,Hard,FALSE,FALSE,Chemistry-Kinetics
Chemistry,"For reaction with ΔG° = 20 kJ at 298K, what is equilibrium constant?",2.6×10⁻⁴,3.8×10³,1.0,8.1×10⁻⁴,2.6×10⁻⁴,Hard,FALSE,FALSE,Chemistry-Equilibrium
Chemistry,How many coulombs needed to deposit 1 g Cu from Cu²⁺ solution?,3030 C,1515 C,6060 C,758 C,3030 C,Hard,FALSE,FALSE,Chemistry-Electrochemistry
Chemistry,"For reaction 2A → B, ΔH = -100 kJ, ΔS = -200 J/K. At what temperature does it become non-spontaneous?",500 K,250 K,1000 K,125 K,500 K,Hard,FALSE,FALSE,Chemistry-Thermodynamics
Math,What is the value of x in 2x + 5 = 13?,4,8,3,6,4,Easy,FALSE,FALSE,Math-Algebra
Math,Simplify: 3x + 2x - x,4x,5x,6x,3x,4x,Easy,FALSE,FALSE,Math-Algebra
Math,What is the area of a square with side 5 cm?,25 cm²,20 cm²,15 cm²,10 cm²,25 cm²,Easy,FALSE,FALSE,Math-Geometry
Math,What is the perimeter of a rectangle with length 8 and width 3?,22,24,11,16,22,Easy,FALSE,FALSE,Math-Geometry
Math,What is sin(30°)?,0.5,1,√3/2,√2/2,0.5,Easy,FALSE,FALSE,Math-Trigonometry
Math,What is the value of π approximately?,3.14159,2.71828,1.618,4,3.14159,Easy,FALSE,FALSE,Math-Constants
Math,"What is the mean of 2, 4, 6, 8?",5,4,6,7,5,Easy,FALSE,FALSE,Math-Statistics
Math,"What is the median of 3, 7, 2, 9, 4?",4,3,7,5,4,Easy,FALSE,FALSE,Math-Statistics
Math,What is the probability of rolling a 6 on a fair die?,1/6,1/3,1/2,1/4,1/6,Easy,FALSE,FALSE,Math-Probability
Math,What is the prime factorization of 12?,2² × 3,2 × 3 × 4,12 × 1,6 × 2,2² × 3,Easy,FALSE,FALSE,Math-Number Theory
Math,What is f(3) if f(x) = 2x + 1?,7,6,5,8,7,Easy,FALSE,FALSE,Math-Functions
Math,What is log₂(8)?,3,2,4,8,3,Easy,FALSE,FALSE,Math-Logarithms
Math,What is 2³ × 2²?,2⁵,2⁶,2¹,2⁴,2⁵,Easy,FALSE,FALSE,Math-Exponents
Math,What is 3/4 + 1/4?,1,1/2,3/8,7/8,1,Easy,FALSE,FALSE,Math-Fractions
Math,What is 0.25 as a fraction?,1/4,1/2,1/3,1/5,1/4,Easy,FALSE,FALSE,Math-Decimals
Math,What is 20% of 50?,10,15,20,25,10,Easy,FALSE,FALSE,Math-Percentages
Math,"If 3:x = 6:8, what is x?",4,3,6,8,4,Easy,FALSE,FALSE,Math-Ratios
Math,"What is the next term in 2, 4, 6, 8, ?",10,12,14,16,10,Easy,FALSE,FALSE,Math-Sequences
Math,How many meters are in 2 kilometers?,2000,100,200,1000,2000,Easy,FALSE,FALSE,Math-Measurement
Math,How many minutes are in 3 hours?,180,60,120,240,180,Easy,FALSE,FALSE,Math-Time
Math,Solve: x² - 5x + 6 = 0,"x = 2, 3","x = 1, 6","x = -2, -3","x = 0, 5","x = 2, 3",Medium,FALSE,FALSE,Math-Algebra
Math,What is the vertex of y = x² - 4x + 3?,"(2, -1)","(1, 0)","(3, 0)","(0, 3)","(2, -1)",Medium,FALSE,FALSE,Math-Algebra
Math,What is the area of a circle with radius 5?,25π,10π,50π,5π,25π,Medium,FALSE,FALSE,Math-Geometry
Math,What is the volume of a sphere with radius 3?,36π,27π,9π,18π,36π,Medium,FALSE,FALSE,Math-Geometry
Math,What is cos(45°)?,√2/2,1/2,√3/2,0,√2/2,Medium,FALSE,FALSE,Math-Trigonometry
Math,"If sin(θ) = 3/5, what is cos(θ)?",4/5,5/3,3/4,5/4,4/5,Medium,FALSE,FALSE,Math-Trigonometry
Math,"What is the standard deviation of 2, 4, 6, 8?",√5,2,√10,4,√5,Medium,FALSE,FALSE,Math-Statistics
Math,"What is the mode of 2, 3, 3, 4, 5, 5, 5?",5,3,4,2,5,Medium,FALSE,FALSE,Math-Statistics
Math,What is the probability of drawing a red card from a standard deck?,1/2,1/4,1/13,1/52,1/2,Medium,FALSE,FALSE,Math-Probability
Math,"If two dice are rolled, what is P(sum = 7)?",6/36,1/6,2/12,3/18,6/36,Medium,FALSE,FALSE,Math-Probability
Math,What is the derivative of x³?,3x²,x³/3,3x,x²,3x²,Medium,FALSE,FALSE,Math-Calculus
Math,What is the integral of 2x?,x² + C,2x² + C,x + C,x³/3 + C,x² + C,Medium,FALSE,FALSE,Math-Calculus
Math,"What is the determinant of [[2, 1], [3, 4]]?",5,8,11,14,5,Medium,FALSE,FALSE,Math-Linear Algebra
Math,"What is the dot product of (2, 3) and (4, 1)?",11,8,14,6,11,Medium,FALSE,FALSE,Math-Linear Algebra
Math,What is (2 + 3i) + (4 - i)?,6 + 2i,6 + 4i,-2 + 2i,2 + 4i,6 + 2i,Medium,FALSE,FALSE,Math-Complex Numbers
Math,What is log₁₀(1000)?,3,2,4,1000,3,Medium,FALSE,FALSE,Math-Logarithms
Math,What is (2³)²?,2⁶,2⁵,2⁴,2⁸,2⁶,Medium,FALSE,FALSE,Math-Exponents
Math,What is the domain of f(x) = √(x-3)?,x ≥ 3,x > 3,x ≤ 3,x < 3,x ≥ 3,Medium,FALSE,FALSE,Math-Functions
Math,What is the sum of first 10 natural numbers?,55,50,45,60,55,Medium,FALSE,FALSE,Math-Sequences
Math,What is the surface area of a cube with side 3?,54,27,36,9,54,Medium,FALSE,FALSE,Math-Geometry
Math,Solve: x³ - 6x² + 11x - 6 = 0,"x = 1, 2, 3","x = 0, 1, 6","x = -1, -2, -3","x = 2, 3, 4","x = 1, 2, 3",Hard,FALSE,FALSE,Math-Algebra
Math,"Solve system: x + y = 5, 2x - y = 1","x = 2, y = 3","x = 3, y = 2","x = 1, y = 4","x = 4, y = 1","x = 2, y = 3",Hard,FALSE,FALSE,Math-Algebra
Math,Find critical points of f(x) = x³ - 3x² + 2,"x = 0, 2","x = 1, 2","x = 0, 1","x = -1, 2","x = 0, 2",Hard,FALSE,FALSE,Math-Calculus
Math,Evaluate ∫₀¹ x² dx,1/3,1/2,1/4,1,1/3,Hard,FALSE,FALSE,Math-Calculus
Math,Solve: 2sin²(x) - 1 = 0 for 0 ≤ x ≤ 2π,"x = π/4, 3π/4, 5π/4, 7π/4","x = 0, π/2, π, 3π/2","x = π/6, 5π/6, 7π/6, 11π/6","x = π/3, 2π/3, 4π/3, 5π/3","x = π/4, 3π/4, 5π/4, 7π/4",Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the 95% confidence interval for mean of sample with mean 50, SD 10, n=25?","(46.08, 53.92)","(48, 52)","(45, 55)","(47.5, 52.5)","(46.08, 53.92)",Hard,FALSE,FALSE,Math-Statistics
Math,What is the probability of exactly 3 heads in 5 coin flips?,10/32,5/16,15/32,3/8,10/32,Hard,FALSE,FALSE,Math-Probability
Math,"Find eigenvalues of [[2, 1], [1, 2]]","λ = 1, 3","λ = 2, 2","λ = 0, 4","λ = -1, 5","λ = 1, 3",Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is (1 + i)⁴?,-4,4,-4i,4i,-4,Hard,FALSE,FALSE,Math-Complex Numbers
Math,What is the volume of a cone with radius 3 and height 4?,12π,36π,9π,18π,12π,Hard,FALSE,FALSE,Math-Geometry
Math,Find the limit: lim(x→0) sin(x)/x,1,0,∞,undefined,1,Hard,FALSE,FALSE,Math-Calculus
Math,What is the derivative of ln(x²)?,2/x,2x,1/x²,x/2,2/x,Hard,FALSE,FALSE,Math-Calculus
Math,What is sin(75°)?,(√6 + √2)/4,√3/2,√2/2,1/2,(√6 + √2)/4,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the correlation coefficient if covariance = 8, σx = 4, σy = 5?",0.4,0.8,1.0,0.5,0.4,Hard,FALSE,FALSE,Math-Statistics
Math,What is P(X > 2) for Poisson distribution with λ = 1?,0.0803,0.3679,0.2642,0.9197,0.0803,Hard,FALSE,FALSE,Math-Probability
Math,"What is the inverse of [[2, 0], [0, 3]]?","[[1/2, 0], [0, 1/3]]","[[3, 0], [0, 2]]","[[2, 0], [0, 3]]","[[0, 1/2], [1/3, 0]]","[[1/2, 0], [0, 1/3]]",Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is e^(iπ/2)?,i,1,-1,-i,i,Hard,FALSE,FALSE,Math-Complex Numbers
Math,"What is the distance between (3, 4) and (7, 1)?",5,4,√25,√34,5,Hard,FALSE,FALSE,Math-Geometry
Math,Find the area under y = x² from x = 0 to x = 2,8/3,4,2,16/3,8/3,Hard,FALSE,FALSE,Math-Calculus
Math,What is the period of y = sin(2x)?,π,2π,π/2,4π,π,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the z-score for value 85 if mean = 70, SD = 5?",3,2,4,5,3,Hard,FALSE,FALSE,Math-Statistics
Math,What is the expected value of rolling a fair die?,3.5,3,4,6,3.5,Hard,FALSE,FALSE,Math-Probability
Math,"What is the rank of [[1, 2, 3], [2, 4, 6], [3, 6, 9]]?",1,2,3,0,1,Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is the magnitude of 3 + 4i?,5,7,12,25,5,Hard,FALSE,FALSE,Math-Complex Numbers
Math,"What is the equation of circle with center (2, -1) and radius 3?",(x-2)² + (y+1)² = 9,(x+2)² + (y-1)² = 9,(x-2)² + (y-1)² = 3,x² + y² = 9,(x-2)² + (y+1)² = 9,Hard,FALSE,FALSE,Math-Geometry
Math,What is the second derivative of x³?,6x,3x²,6,x,6x,Hard,FALSE,FALSE,Math-Calculus
Math,What is tan(15°)?,2 - √3,√3 - 1,1/√3,√3,2 - √3,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the standard error of mean for n=36, σ=12?",2,3,4,6,2,Hard,FALSE,FALSE,Math-Statistics
Math,"What is P(X ≤ 1) for binomial n=5, p=0.3?",0.5282,0.8369,0.1631,0.3602,0.5282,Hard,FALSE,FALSE,Math-Probability
Math,"What is the determinant of [[1, 2, 3], [0, 1, 4], [0, 0, 2]]?",2,6,8,12,2,Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is the argument of 1 + √3 i?,π/3,π/6,π/2,π/4,π/3,Hard,FALSE,FALSE,Math-Complex Numbers
Math,"What is the area of triangle with vertices (0,0), (4,0), (0,3)?",6,12,5,10,6,Hard,FALSE,FALSE,Math-Geometry
Math,What is the limit: lim(x→∞) (3x² + 2x)/(x² - 5)?,3,∞,0,undefined,3,Hard,FALSE,FALSE,Math-Calculus
Math,What is cos(15°)?,(√6 + √2)/4,(√6 - √2)/4,√3/2,√2/2,(√6 + √2)/4,Hard,FALSE,FALSE,Math-Trigonometry
Math,"What is the coefficient of variation if mean = 50, SD = 10?",20%,10%,5%,25%,20%,Hard,FALSE,FALSE,Math-Statistics
Math,"What is the probability that at least one of two events occurs if P(A)=0.3, P(B)=0.4, P(A∩B)=0.1?",0.6,0.7,0.8,0.5,0.6,Hard,FALSE,FALSE,Math-Probability
Math,"What is the trace of [[2, 1], [3, 4]]?",6,5,8,7,6,Hard,FALSE,FALSE,Math-Linear Algebra
Math,What is (2 + 3i)(2 - 3i)?,13,4 + 9i,4 - 9i,6i,13,Hard,FALSE,FALSE,Math-Complex Numbers
Math,What is the volume of a cylinder with radius 2 and height 5?,20π,10π,40π,5π,20π,Hard,FALSE,FALSE,Math-Geometry
Math,What is the integral of e^(2x)?,(1/2)e^(2x) + C,2e^(2x) + C,e^(2x) + C,e^x + C,(1/2)e^(2x) + C,Hard,FALSE,FALSE,Math-Calculus
